reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
cd9d5058-35c7-4072-b872-b7b927834b81,Gabriel Saavedra,https://play-lh.googleusercontent.com/a-/ALV-UjUakq1zn-bQnoRRpDrDhnE6i4Zez-lMGjhTdZlEXaMPol1FsVk,"Sería bueno que al recibir un pago QR se notifique con audio el monto recibido, como lo hacen otras apps",3,0,1.1.3,2025-09-26 14:23:53,,,1.1.3
9b6bb73b-6f27-4b51-a199-2be736c33d21,Ariceli Mercie Vaca,https://play-lh.googleusercontent.com/a-/ALV-UjU87IDWtTZhTjy9-VN8UVlVkH1X1uqPTcPh3N5qwKVXdeR8B6Zl,muy lenta,3,0,1.1.3,2025-09-26 12:30:27,,,1.1.3
7937ccb6-bc61-42da-8e1a-1619dad7da7f,Lucia Rojas Rios,https://play-lh.googleusercontent.com/a/ACg8ocJD4ubIhbawrvzZM0GUSZxzgSwFqFD3RiW3mHkOcUyExCbK3A=mo,es muy buena,5,0,1.1.3,2025-09-26 10:11:41,,,1.1.3
c4af1404-a063-4b36-8634-918b08f6ca2c,Royer Moye corrales,https://play-lh.googleusercontent.com/a/ACg8ocLvWSqU6CSOtbi6SYjXwGCYPT5E5D2YuOO4teGFctJ-q-4n1g=mo,Buena aplicación me gusta,5,0,1.1.3,2025-09-25 15:37:00,,,1.1.3
86d01eec-abe5-4f3f-8cc5-fcd4b39b4f52,Jose Dario Quisbert Flores,https://play-lh.googleusercontent.com/a/ACg8ocLZyqYI9sLA5wEmQENXyQ4HFIrPSc-S2sJNTRxpOD6Y2sqY8w=mo,muy lento para aser tranferencia,2,0,1.1.3,2025-09-25 14:32:51,,,1.1.3
8e1e624c-e733-40ac-ba3e-846983380871,Felipa Aban,https://play-lh.googleusercontent.com/a/ACg8ocJPMXq_H-9Tik4ck3qpm5OZk6tex1dSxOaqLDaRu4kBZjBWkQ=mo,esta bien,5,0,1.1.3,2025-09-25 08:45:38,,,1.1.3
69093695-73eb-405d-b947-0e7bcfe4d579,Marilu carlos costa,https://play-lh.googleusercontent.com/a-/ALV-UjV-NMTJrP6zqQQYkB_5z8jDn7Ria3FnqWLoEETl07G9i80VMKhI,super rápido,5,0,1.1.3,2025-09-24 19:50:56,,,1.1.3
b16dfa97-4c69-4452-a7f0-d5be2d70e298,angel jairo cruz ramos,https://play-lh.googleusercontent.com/a/ACg8ocI_RF77PjThQ94gJyG2iOitjJZWWlRvnBj9eG8mPBmrwMdD42c=mo,me gustó este aplicación es lo mejor,5,0,1.0.49,2025-09-24 18:20:19,,,1.0.49
116c4cfe-1382-49e9-a1af-6dfaa62997a6,Grover Huaycho Quispe,https://play-lh.googleusercontent.com/a-/ALV-UjWQctWn7ITt7mosCtR9hGQszjkSde9M8-vUpd5M5nS5BWqFZjuD,muy lenta,1,0,1.1.3,2025-09-24 14:46:04,,,1.1.3
6e6bb52e-8b9f-440d-804d-5f5be21320e8,Ruti Mamani,https://play-lh.googleusercontent.com/a/ACg8ocKf3jJBz2pSyAI5weSexz6VCZdbzVsDPYIaHfhGPwxw6PpBFA=mo,exelente,5,0,1.1.3,2025-09-24 13:20:12,,,1.1.3
121901f0-a307-4e37-9199-171fe37fb148,Margarita Vizcarra,https://play-lh.googleusercontent.com/a-/ALV-UjWsJ0fvL-o3j1ZHOz89zA12VNFZjr3k-mz99Y_28NfGhXeaQgFm,excelente,4,0,1.1.3,2025-09-23 21:28:24,,,1.1.3
47f83149-44fb-4399-aa39-30d66b2393ec,Llampa Gutierres Luis Rodrigo,https://play-lh.googleusercontent.com/a/ACg8ocLd4Z0l0v8SzhH62wzTDg372Z1wgGMlS3eO9crbWr_vk6QY-w=mo,si sistema no sirve muchas fallas,1,0,1.1.3,2025-09-23 20:41:28,,,1.1.3
af095e31-e4f0-47bc-80fa-7adc992b3071,Murdoc Shukuchi,https://play-lh.googleusercontent.com/a-/ALV-UjXG6_RPtFLPsp735NnyQ0qv8bJA-eXnq1jgczcqdo5DusOvHKss,No funciona para tablets.. Para nada tanto registro la app se cierra ni bien se abre.. Cuando lo arreglen les doy 3 eatrellas y 5 si esta bien optimizado,1,0,1.1.3,2025-09-23 19:27:04,,,1.1.3
6157f66e-21c2-4cff-9a72-5fbd8e336bfc,Ariel Vidaurre,https://play-lh.googleusercontent.com/a/ACg8ocIR27qO3vQOCfR5a-JVY9sO5bNVQ8d1C2msLk7pfQyly2GKLw=mo,bien util la app,3,0,1.1.3,2025-09-23 19:05:45,,,1.1.3
6d722c69-0504-4d37-ba22-6bc1d1f04e1f,Damian Cardenas,https://play-lh.googleusercontent.com/a/ACg8ocJoIcdmG75CPm6lQoilLIUwdKAGjROYd-qP4HCk3-COEGiiTw=mo,hola nesecito ayuda de la aplicación por cambiar plataforma,3,0,,2025-09-23 15:16:28,,,
d854e9ad-5d0b-4888-83b5-e96196b7e59e,Carla Paxi,https://play-lh.googleusercontent.com/a/ACg8ocK03alNtKbsFCUdrpy0KwU8ctagAl7X5SkEOl3uSY99-4ax1A=mo,Excelente,5,0,,2025-09-23 12:30:47,,,
e2986a21-d40a-42bc-a0b7-5f8cbfe8efb0,NICKI 005,https://play-lh.googleusercontent.com/a-/ALV-UjW4vWbbTw3r78qsXVzstSMbpskRJZZh3lgG5zuENntpAW_jsdQe,tiene algunos defectos con el internet,1,0,1.1.3,2025-09-23 10:30:03,,,1.1.3
32b633a1-eb79-4540-a4a9-68cf4ef7b72a,Jesus Gelyn Roca vargas,https://play-lh.googleusercontent.com/a/ACg8ocJWe4KC4aBFjp9FMh_c3qxACKKamQ4zI1vcpNtiiTy-PToXfw=mo,"cuando intentas entrar en otro celular con el número y la contraseña no deja entrar dice contraseña o número incorrecto, malísima",1,0,1.1.3,2025-09-22 23:31:36,,,1.1.3
3cae671d-1039-4bbc-b899-69b8f149c967,Rosalía Araira nogales,https://play-lh.googleusercontent.com/a-/ALV-UjXHm4LOxfiKQlk-bOUGJnvT71XiyCGzOtGfK5PaqdY8y5qTKldFSA,muy buena aplicación,5,0,1.1.3,2025-09-22 19:35:52,,,1.1.3
56011933-2e80-40c3-b0db-35e91a0caf16,Farco,https://play-lh.googleusercontent.com/a-/ALV-UjW7Nt-glqv6J3zQ3mORtOudhun0FXp_7Tzl096sZW-1E3Df7LWx,Una reverenda macana no sirve para hacer nada ni para recargar crédito,1,0,1.1.3,2025-09-22 15:57:01,,,1.1.3
b8cb8a4a-43e7-43e2-8da3-4a5dbaca38fe,Ronald Espinoza,https://play-lh.googleusercontent.com/a/ACg8ocJNsF8EBEnZAnD_dctroLqK1-BgXHrs_wFtsCfmawXosIsn3g=mo,muy fácil,5,0,1.1.3,2025-09-22 12:46:04,,,1.1.3
96b85a69-8a85-4b26-88ea-c0a7700563e1,Maria Lizeth Onofre Rojas,https://play-lh.googleusercontent.com/a/ACg8ocIiNE8ThML3H5IRlg0sD6muAhYEWHx1s1PL_BREoujvMEhQgg=mo,"En la sección de movimentos, los ingresos del día no se suman. se quedan en 0.00 bs. requiere corregir la app",3,1,1.1.3,2025-09-21 12:22:12,,,1.1.3
